업종명,업소명,소재지(도로명),소재지(지번),위도,경도,데이터기준일자
일반음식점,탐라국꾼,제주특별자치도 서귀포시 남원읍 태위로 673,제주특별자치도 서귀포시 남원읍 남원리 105번지 외1필지 ,33.2791363,126.7184405,2018-02-23
일반음식점,철수야흑돼지근고기,제주특별자치도 서귀포시 표선면 민속해안로 578-4,제주특별자치도 서귀포시 표선면 표선리 40번지 56호 ,33.3250281,126.8444591,2018-02-23
일반음식점,봄므,제주특별자치도 서귀포시 태평로 60 (호근동),제주특별자치도 서귀포시 호근동 1567번지 1호 ,33.244663,126.5294365,2018-02-23
일반음식점,겸성식당,제주특별자치도 서귀포시 이어도로 918 (법환동),제주특별자치도 서귀포시 법환동 1219번지 7호 ,33.2374077,126.512822,2018-02-23
일반음식점,서귀포경찰서구내식당,제주특별자치도 서귀포시 신중로 27 (법환동),제주특별자치도 서귀포시 법환동 731번지 1호 ,33.2560507,126.5088769,2018-02-23
일반음식점,산방산초가집,제주특별자치도 서귀포시 안덕면 화순해안로 189,제주특별자치도 서귀포시 안덕면 화순리 421번지 1호 ,33.2455947,126.3387238,2018-02-23
일반음식점,신좋은식당,제주특별자치도 서귀포시 성산읍 고성오조로 90,제주특별자치도 서귀포시 성산읍 고성리 1200번지 4호 ,33.4516587,126.9145507,2018-02-23
일반음식점,총각네회센터,제주특별자치도 서귀포시 홍중로 96-2 (서홍동),제주특별자치도 서귀포시 서홍동 299번지 9호 ,33.2609631,126.5559725,2018-02-23
일반음식점,하나로국밥,제주특별자치도 서귀포시 천제연로 222-2 (중문동),제주특별자치도 서귀포시 중문동 1949번지 9호 ,33.2512817,126.4281767,2018-02-23
일반음식점,탐라소담,제주특별자치도 서귀포시 대정읍 하모중앙로 21,제주특별자치도 서귀포시 대정읍 하모리 1415번지 5호 ,33.2262673,126.2528158,2018-02-23
일반음식점,하효소머리국밥,제주특별자치도 서귀포시 효돈로 174 (하효동),제주특별자치도 서귀포시 하효동 142번지 2호 ,33.2635397,126.6173506,2018-02-23
