












;[1]
"　",,"응답자수","비율"
"[전체]",,"6,181","100.0"
"거주지","서울특별시","1,467","23.7"
,"부산광역시","724","11.7"
,"대구광역시","538","8.7"
,"인천광역시","375","6.1"
,"광주광역시","215","3.5"
,"대전광역시","185","3.0"
,"울산광역시","187","3.0"
,"세종자치시","34","0.5"
,"경기도","1,284","20.8"
,"강원도","99","1.6"
,"충청도","262","4.2"
,"전라도","385","6.2"
,"경상도","416","6.7"
,"기타 지역","11","0.2"
"성별","남자","2,600","42.1"
,"여자","3,581","57.9"
"연령","15세 - 20세","127","2.1"
,"21세 - 30세","1,412","22.9"
,"31세 - 40세","1,518","24.6"
,"41세 - 50세","1,250","20.2"
,"51세 - 60세","1,371","22.2"
,"61세 이상","503","8.1"
"방문목적","휴가 및 순수여행","5,571","90.1"
,"비즈니스여행","405","6.6"
,"기타여행","204","3.3"
"여행형태","개별여행","5,884","95.2"
,"패키지여행","248","4.0"
,"부분패키지여행","49","0.8"
"방문횟수","1회","1,934","31.3"
,"2회","2,483","40.2"
,"3회","813","13.2"
,"4회 이상","951","15.4"
;




;[2]
"　",,"응답자수","1일","2일","3일","4일","5일","6일"
,"패키지여행","62","0.0 ","0.0 ","2.0 ","8.1 ","3.9 "
,"부분패키지여행","16","6.9 ","0.0 ","14.7 ","40.0 ","0.0 "
"방문횟수","1회","312","6.3 ","1.2 ","16.2 ","28.4 ","12.8 "
,"2회","360","1.0 ","1.1 ","15.8 ","24.0 ","9.3 "
,"3회","201","4.8 ","0.0 ","12.0 ","19.5 ","11.2 "
,"4회 이상","355","2.1 ","0.7 ","18.0 ","6.2 ","9.0 "
;



;[9]
"　",,"응답자수","자연경관 감상","휴양/휴식","역사/문화유적/전통문화 체험","음식/미식 탐방","쇼핑"
"[전체]",,"6,181","58.5 ","28.5 ","1.3 ","4.8 ","0.1 "
"거주지","서울시","1,467","59.2 ","26.3 ","1.1 ","5.0 ","0.1 "
,"부산시","724","58.0 ","29.0 ","1.2 ","4.0 ","0.2 "
,"대구시","538","59.0 ","32.2 ","0.8 ","3.0 ","0.0 "
,"인천시","375","50.8 ","38.8 ","0.7 ","4.1 ","0.0 "
,"광주시","215","65.0 ","23.5 ","0.7 ","3.6 ","0.0 "
,"대전시","185","67.8 ","17.2 ","3.6 ","2.7 ","0.0 "
,"울산시","187","59.8 ","26.3 ","2.7 ","5.5 ","0.0 "
,"세종시","34","62.7 ","33.3 ","3.4 ","0.0 ","0.0 "
,"경기도","1,284","55.4 ","30.1 ","1.3 ","6.5 ","0.1 "
,"강원도","99","46.1 ","37.9 ","0.0 ","3.6 ","0.0 "
,"충청도","262","62.9 ","27.5 ","1.8 ","2.2 ","0.1 "
,"전라도","385","61.7 ","25.9 ","2.0 ","4.5 ","0.0 "
,"경상도","416","61.7 ","25.2 ","0.6 ","6.8 ","0.0 "
,"기타 지역","11","55.1 ","21.6 ","0.0 ","23.3 ","0.0 "
"성별","남자","2,600","57.5 ","27.4 ","1.2 ","5.0 ","0.0 "
,"여자","3,581","59.2 ","29.3 ","1.3 ","4.7 ","0.1 "
"연령","15세 - 20세","127","40.6 ","18.6 ","7.7 ","18.9 ","0.1 "
,"21세 - 30세","1,412","53.1 ","30.0 ","0.8 ","8.7 ","0.1 "
,"31세 - 40세","1,518","56.1 ","31.6 ","1.5 ","2.7 ","0.1 "
,"41세 - 50세","1,250","60.4 ","28.6 ","1.2 ","3.7 ","0.1 "
,"51세 - 60세","1,371","64.1 ","25.4 ","0.9 ","3.0 ","0.0 "
,"61세 이상","503","65.3 ","25.6 ","1.3 ","4.8 ","0.0 "
